//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/usr/lib/swift/libswiftRegexBuilder.dylib
// arch:    arm64e
// uuid:    ED12EC1F-4651-363B-BBAA-B42D23A9A2F7
// text:    0x0000000284d0f000
// count:   465 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000284d12100  0x00000004  __TEXT,__text  sub  sub_284d12100
0x0000000284d12104  0x00000004  __TEXT,__text  sub  sub_284d12104
0x0000000284d12108  0x000000c8  __TEXT,__text  sub  sub_284d12108
0x0000000284d121d0  0x000000d0  __TEXT,__text  sub  sub_284d121d0
0x0000000284d122a0  0x00000064  __TEXT,__text  sub  sub_284d122a0
0x0000000284d12304  0x00000068  __TEXT,__text  sub  sub_284d12304
0x0000000284d1236c  0x00000004  __TEXT,__text  sub  sub_284d1236c
0x0000000284d12370  0x00000004  __TEXT,__text  sub  sub_284d12370
0x0000000284d12374  0x00000004  __TEXT,__text  sub  sub_284d12374
0x0000000284d12378  0x00000004  __TEXT,__text  sub  sub_284d12378
0x0000000284d1237c  0x00000004  __TEXT,__text  sub  sub_284d1237c
0x0000000284d12380  0x00000004  __TEXT,__text  sub  sub_284d12380
0x0000000284d12384  0x00000004  __TEXT,__text  sub  sub_284d12384
0x0000000284d12388  0x00000004  __TEXT,__text  sub  sub_284d12388
0x0000000284d1238c  0x00000004  __TEXT,__text  sub  sub_284d1238c
0x0000000284d12390  0x00000004  __TEXT,__text  sub  sub_284d12390
0x0000000284d12394  0x00000004  __TEXT,__text  sub  sub_284d12394
0x0000000284d12398  0x00000004  __TEXT,__text  sub  sub_284d12398
0x0000000284d1239c  0x00000004  __TEXT,__text  sub  sub_284d1239c
0x0000000284d123a0  0x00000004  __TEXT,__text  sub  sub_284d123a0
0x0000000284d123a4  0x00000004  __TEXT,__text  sub  sub_284d123a4
0x0000000284d123a8  0x00000004  __TEXT,__text  sub  sub_284d123a8
0x0000000284d123ac  0x00000004  __TEXT,__text  sub  sub_284d123ac
0x0000000284d123b0  0x00000004  __TEXT,__text  sub  sub_284d123b0
0x0000000284d123b4  0x00000004  __TEXT,__text  sub  sub_284d123b4
0x0000000284d123b8  0x00000004  __TEXT,__text  sub  sub_284d123b8
0x0000000284d12a94  0x00000114  __TEXT,__text  swift  $sSK12RegexBuilderSs11SubSequenceRtzrlE10firstMatch2of17_StringProcessing0A0V0F0Vyqd___GSgqd_0_yXE_t0A6OutputQyd_0_Rsd__AF0A9ComponentRd_0_r0_lF  // (extension in RegexBuilder):Swift.BidirectionalCollection< where A.SubSequence == Swift.Substring>.firstMatch<A, B where A1 == B1.RegexOutput, B1: _StringProcessing.RegexComponent>(of: () -> B1) -> Swift.Optional<_StringProcessing.Regex<A1>.Match>
0x0000000284d12ba8  0x00000114  __TEXT,__text  swift  $sSK12RegexBuilderSs11SubSequenceRtzrlE7matches2ofSay17_StringProcessing0A0V5MatchVyqd___GGqd_0_yXE_t0A6OutputQyd_0_Rsd__AF0A9ComponentRd_0_r0_lF  // (extension in RegexBuilder):Swift.BidirectionalCollection< where A.SubSequence == Swift.Substring>.matches<A, B where A1 == B1.RegexOutput, B1: _StringProcessing.RegexComponent>(of: () -> B1) -> Swift.Array<_StringProcessing.Regex<A1>.Match>
0x0000000284d12cbc  0x0000010c  __TEXT,__text  swift  $sSm12RegexBuilderSKRzSs11SubSequenceSlRtzrlE10trimPrefixyyqd__yXE17_StringProcessing0A9ComponentRd__lF  // (extension in RegexBuilder):Swift.RangeReplaceableCollection< where A: Swift.BidirectionalCollection, A.Swift.Collection.SubSequence == Swift.Substring>.trimPrefix<A where A1: _StringProcessing.RegexComponent>(() -> A1) -> ()
0x0000000284d12dc8  0x00000140  __TEXT,__text  swift  $sSm12RegexBuilderSKRzSs11SubSequenceSlRtzrlE9replacing4with8subrange15maxReplacements7contentxqd___SnySS5IndexVGSiqd_0_yXEtSlRd__17_StringProcessing0A9ComponentRd_0_SJ7ElementRtd__r0_lF  // (extension in RegexBuilder):Swift.RangeReplaceableCollection< where A: Swift.BidirectionalCollection, A.Swift.Collection.SubSequence == Swift.Substring>.replacing<A, B where A1: Swift.Collection, B1: _StringProcessing.RegexComponent, A1.Element == Swift.Character>(with: A1, subrange: Swift.Range<Swift.String.Index>, maxReplacements: Swift.Int, content: () -> B1) -> A
0x0000000284d12f08  0x00000128  __TEXT,__text  swift  $sSm12RegexBuilderSKRzSs11SubSequenceSlRtzrlE9replacing4with15maxReplacements7contentxqd___Siqd_0_yXEtSlRd__17_StringProcessing0A9ComponentRd_0_SJ7ElementRtd__r0_lF  // (extension in RegexBuilder):Swift.RangeReplaceableCollection< where A: Swift.BidirectionalCollection, A.Swift.Collection.SubSequence == Swift.Substring>.replacing<A, B where A1: Swift.Collection, B1: _StringProcessing.RegexComponent, A1.Element == Swift.Character>(with: A1, maxReplacements: Swift.Int, content: () -> B1) -> A
0x0000000284d13030  0x00000120  __TEXT,__text  swift  $sSm12RegexBuilderSKRzSs11SubSequenceSlRtzrlE7replace4with15maxReplacements7contentyqd___Siqd_0_yXEtSlRd__17_StringProcessing0A9ComponentRd_0_SJ7ElementRtd__r0_lF  // (extension in RegexBuilder):Swift.RangeReplaceableCollection< where A: Swift.BidirectionalCollection, A.Swift.Collection.SubSequence == Swift.Substring>.replace<A, B where A1: Swift.Collection, B1: _StringProcessing.RegexComponent, A1.Element == Swift.Character>(with: A1, maxReplacements: Swift.Int, content: () -> B1) -> ()
0x0000000284d13150  0x00000150  __TEXT,__text  swift  $sSm12RegexBuilderSKRzSs11SubSequenceSlRtzrlE9replacing8subrange15maxReplacements7content4withxSnySS5IndexVG_Siqd_1_yXEqd_0_17_StringProcessing0A0V5MatchVyqd___GKXEtK0A6OutputQyd_1_Rsd__SlRd_0_AL0A9ComponentRd_1_SJ7ElementRtd_0_r1_lF  // (extension in RegexBuilder):Swift.RangeReplaceableCollection< where A: Swift.BidirectionalCollection, A.Swift.Collection.SubSequence == Swift.Substring>.replacing<A, B, C where A1 == C1.RegexOutput, B1: Swift.Collection, C1: _StringProcessing.RegexComponent, B1.Element == Swift.Character>(subrange: Swift.Range<Swift.String.Index>, maxReplacements: Swift.Int, content: () -> C1, with: (_StringProcessing.Regex<A1>.Match) throws -> B1) throws -> A
0x0000000284d132a0  0x00000148  __TEXT,__text  swift  $sSm12RegexBuilderSKRzSs11SubSequenceSlRtzrlE9replacing15maxReplacements7content4withxSi_qd_1_yXEqd_0_17_StringProcessing0A0V5MatchVyqd___GKXEtK0A6OutputQyd_1_Rsd__SlRd_0_AH0A9ComponentRd_1_SJ7ElementRtd_0_r1_lF  // (extension in RegexBuilder):Swift.RangeReplaceableCollection< where A: Swift.BidirectionalCollection, A.Swift.Collection.SubSequence == Swift.Substring>.replacing<A, B, C where A1 == C1.RegexOutput, B1: Swift.Collection, C1: _StringProcessing.RegexComponent, B1.Element == Swift.Character>(maxReplacements: Swift.Int, content: () -> C1, with: (_StringProcessing.Regex<A1>.Match) throws -> B1) throws -> A
0x0000000284d133e8  0x00000148  __TEXT,__text  swift  $sSm12RegexBuilderSKRzSs11SubSequenceSlRtzrlE7replace15maxReplacements7content4withySi_qd_1_yXEqd_0_17_StringProcessing0A0V5MatchVyqd___GKXEtK0A6OutputQyd_1_Rsd__SlRd_0_AH0A9ComponentRd_1_SJ7ElementRtd_0_r1_lF  // (extension in RegexBuilder):Swift.RangeReplaceableCollection< where A: Swift.BidirectionalCollection, A.Swift.Collection.SubSequence == Swift.Substring>.replace<A, B, C where A1 == C1.RegexOutput, B1: Swift.Collection, C1: _StringProcessing.RegexComponent, B1.Element == Swift.Character>(maxReplacements: Swift.Int, content: () -> C1, with: (_StringProcessing.Regex<A1>.Match) throws -> B1) throws -> ()
0x0000000284d13530  0x00000004  __TEXT,__text  swift  $sSy12RegexBuilderSs11SubSequenceRtzrlE5split9separator9maxSplits25omittingEmptySubsequencesSaySsGSS_SiSbtF  // (extension in RegexBuilder):Swift.StringProtocol< where A.SubSequence == Swift.Substring>.split(separator: Swift.String, maxSplits: Swift.Int, omittingEmptySubsequences: Swift.Bool) -> Swift.Array<Swift.Substring>
0x0000000284d13534  0x00000004  __TEXT,__text  swift  $sSy12RegexBuilderSs11SubSequenceRtzrlE5split9separator9maxSplits25omittingEmptySubsequencesSaySsGSs_SiSbtF  // (extension in RegexBuilder):Swift.StringProtocol< where A.SubSequence == Swift.Substring>.split(separator: Swift.Substring, maxSplits: Swift.Int, omittingEmptySubsequences: Swift.Bool) -> Swift.Array<Swift.Substring>
0x0000000284d13538  0x00000014  __TEXT,__text  swift  $s12RegexBuilder6AnchorV4KindOSQAASQ2eeoiySbx_xtFZTW  // protocol witness for static Swift.Equatable.== infix(A, A) -> Swift.Bool in conformance RegexBuilder.Anchor.Kind : Swift.Equatable in RegexBuilder
0x0000000284d1354c  0x00000048  __TEXT,__text  swift  $s12RegexBuilder6AnchorV4KindOSHAASH9hashValueSivgTW  // protocol witness for Swift.Hashable.hashValue.getter : Swift.Int in conformance RegexBuilder.Anchor.Kind : Swift.Hashable in RegexBuilder
0x0000000284d13594  0x0000002c  __TEXT,__text  swift  $s12RegexBuilder6AnchorV4KindOSHAASH4hash4intoys6HasherVz_tFTW  // protocol witness for Swift.Hashable.hash(into: inout Swift.Hasher) -> () in conformance RegexBuilder.Anchor.Kind : Swift.Hashable in RegexBuilder
0x0000000284d135c0  0x00000044  __TEXT,__text  swift  $s12RegexBuilder6AnchorV4KindOSHAASH13_rawHashValue4seedS2i_tFTW  // protocol witness for Swift.Hashable._rawHashValue(seed: Swift.Int) -> Swift.Int in conformance RegexBuilder.Anchor.Kind : Swift.Hashable in RegexBuilder
0x0000000284d13604  0x00000284  __TEXT,__text  swift  $s12RegexBuilder6AnchorV5regex17_StringProcessing0A0VySsGvg  // RegexBuilder.Anchor.regex.getter : _StringProcessing.Regex<Swift.Substring>
0x0000000284d13888  0x00000004  __TEXT,__text  swift  $s12RegexBuilder6AnchorV17_StringProcessing0A9ComponentAadEP5regexAD0A0Vy0A6OutputQzGvgTW  // protocol witness for _StringProcessing.RegexComponent.regex.getter : _StringProcessing.Regex<A.RegexOutput> in conformance RegexBuilder.Anchor : _StringProcessing.RegexComponent in RegexBuilder
0x0000000284d1388c  0x00000008  __TEXT,__text  swift  $s12RegexBuilder6AnchorV14startOfSubjectACvgZ  // static RegexBuilder.Anchor.startOfSubject.getter : RegexBuilder.Anchor
0x0000000284d13894  0x0000000c  __TEXT,__text  swift  $s12RegexBuilder6AnchorV25endOfSubjectBeforeNewlineACvgZ  // static RegexBuilder.Anchor.endOfSubjectBeforeNewline.getter : RegexBuilder.Anchor
0x0000000284d138a0  0x0000000c  __TEXT,__text  swift  $s12RegexBuilder6AnchorV12endOfSubjectACvgZ  // static RegexBuilder.Anchor.endOfSubject.getter : RegexBuilder.Anchor
0x0000000284d138ac  0x0000000c  __TEXT,__text  swift  $s12RegexBuilder6AnchorV30firstMatchingPositionInSubjectACvgZ  // static RegexBuilder.Anchor.firstMatchingPositionInSubject.getter : RegexBuilder.Anchor
0x0000000284d138b8  0x0000000c  __TEXT,__text  swift  $s12RegexBuilder6AnchorV19textSegmentBoundaryACvgZ  // static RegexBuilder.Anchor.textSegmentBoundary.getter : RegexBuilder.Anchor
0x0000000284d138c4  0x0000000c  __TEXT,__text  swift  $s12RegexBuilder6AnchorV11startOfLineACvgZ  // static RegexBuilder.Anchor.startOfLine.getter : RegexBuilder.Anchor
0x0000000284d138d0  0x0000000c  __TEXT,__text  swift  $s12RegexBuilder6AnchorV9endOfLineACvgZ  // static RegexBuilder.Anchor.endOfLine.getter : RegexBuilder.Anchor
0x0000000284d138dc  0x0000000c  __TEXT,__text  swift  $s12RegexBuilder6AnchorV12wordBoundaryACvgZ  // static RegexBuilder.Anchor.wordBoundary.getter : RegexBuilder.Anchor
0x0000000284d138e8  0x0000001c  __TEXT,__text  swift  $s12RegexBuilder6AnchorV8invertedACvg  // RegexBuilder.Anchor.inverted.getter : RegexBuilder.Anchor
0x0000000284d13904  0x00000020  __TEXT,__text  swift  $s12RegexBuilder9LookaheadV5regex17_StringProcessing0A0VyxGvM  // RegexBuilder.Lookahead.regex.modify : _StringProcessing.Regex<A>
0x0000000284d13924  0x00000004  __TEXT,__text  swift  $s12RegexBuilder17NegativeLookaheadV5regex17_StringProcessing0A0VyxGvM.resume.0  // RegexBuilder.NegativeLookahead.regex.modify : _StringProcessing.Regex<A> with unmangled suffix ".resume.0"  // aliases: $s12RegexBuilder3OneV5regex17_StringProcessing0A0VyxGvM.resume.0, $s12RegexBuilder9OneOrMoreV5regex17_StringProcessing0A0VyxGvM.resume.0, $s12RegexBuilder10ZeroOrMoreV5regex17_StringProcessing0A0VyxGvM.resume.0, $s12RegexBuilder10OptionallyV5regex17_StringProcessing0A0VyxGvM.resume.0, $s12RegexBuilder6RepeatV5regex17_StringProcessing0A0VyxGvM.resume.0, $s12RegexBuilder8ChoiceOfV5regex17_StringProcessing0A0VyxGvM.resume.0, $s12RegexBuilder7CaptureV5regex17_StringProcessing0A0VyxGvM.resume.0, $s12RegexBuilder10TryCaptureV5regex17_StringProcessing0A0VyxGvM.resume.0, $s12RegexBuilder5LocalV5regex17_StringProcessing0A0VyxGvM.resume.0, $s12RegexBuilder0a9ComponentB0Owup, $s12RegexBuilder0a9ComponentB0Owui, $s12RegexBuilder6AnchorV4KindOwup, $s12RegexBuilder9LookaheadV5regex17_StringProcessing0A0VyxGvM.resume.0
0x0000000284d13928  0x00000018  __TEXT,__text  swift  $s12RegexBuilder9LookaheadVyACyxGqd__c0A6OutputQyd__Rsz17_StringProcessing0A9ComponentRd__lufC  // RegexBuilder.Lookahead.init<A where A == A1.RegexOutput, A1: _StringProcessing.RegexComponent>(A1) -> RegexBuilder.Lookahead<A>
0x0000000284d13940  0x00000018  __TEXT,__text  swift  $s12RegexBuilder9LookaheadVyACyxGqd__yXEc0A6OutputQyd__Rsz17_StringProcessing0A9ComponentRd__lufC  // RegexBuilder.Lookahead.init<A where A == A1.RegexOutput, A1: _StringProcessing.RegexComponent>(() -> A1) -> RegexBuilder.Lookahead<A>
0x0000000284d13958  0x00000020  __TEXT,__text  swift  $s12RegexBuilder17NegativeLookaheadV5regex17_StringProcessing0A0VyxGvM  // RegexBuilder.NegativeLookahead.regex.modify : _StringProcessing.Regex<A>
0x0000000284d13978  0x00000018  __TEXT,__text  swift  $s12RegexBuilder17NegativeLookaheadVyACyxGqd__c0A6OutputQyd__Rsz17_StringProcessing0A9ComponentRd__lufC  // RegexBuilder.NegativeLookahead.init<A where A == A1.RegexOutput, A1: _StringProcessing.RegexComponent>(A1) -> RegexBuilder.NegativeLookahead<A>
0x0000000284d13990  0x000001d0  __TEXT,__text  swift  $s12RegexBuilder9LookaheadVyACyxGqd__c0A6OutputQyd__Rsz17_StringProcessing0A9ComponentRd__lufCTm  // merged RegexBuilder.Lookahead.init<A where A == A1.RegexOutput, A1: _StringProcessing.RegexComponent>(A1) -> RegexBuilder.Lookahead<A>
0x0000000284d13b60  0x00000018  __TEXT,__text  swift  $s12RegexBuilder17NegativeLookaheadVyACyxGqd__yXEc0A6OutputQyd__Rsz17_StringProcessing0A9ComponentRd__lufC  // RegexBuilder.NegativeLookahead.init<A where A == A1.RegexOutput, A1: _StringProcessing.RegexComponent>(() -> A1) -> RegexBuilder.NegativeLookahead<A>
0x0000000284d13b78  0x0000023c  __TEXT,__text  swift  $s12RegexBuilder9LookaheadVyACyxGqd__yXEc0A6OutputQyd__Rsz17_StringProcessing0A9ComponentRd__lufCTm  // merged RegexBuilder.Lookahead.init<A where A == A1.RegexOutput, A1: _StringProcessing.RegexComponent>(() -> A1) -> RegexBuilder.Lookahead<A>
0x0000000284d13db4  0x000000d4  __TEXT,__text  swift  $s12RegexBuilder0a9ComponentB0O10buildBlock17_StringProcessing0A0VySsGyFZ  // static RegexBuilder.RegexComponentBuilder.buildBlock() -> _StringProcessing.Regex<Swift.Substring>
0x0000000284d13e88  0x0000002c  __TEXT,__text  swift  $s12RegexBuilder0a9ComponentB0O17buildPartialBlock5first17_StringProcessing0A0Vy0A6OutputQzGx_tAF0aC0RzlFZ  // static RegexBuilder.RegexComponentBuilder.buildPartialBlock<A where A: _StringProcessing.RegexComponent>(first: A) -> _StringProcessing.Regex<A.RegexOutput>
0x0000000284d13eb4  0x00000298  __TEXT,__text  swift  $s12RegexBuilder14CharacterClassV5regex17_StringProcessing0A0VySsGvg  // RegexBuilder.CharacterClass.regex.getter : _StringProcessing.Regex<Swift.Substring>
0x0000000284d1414c  0x00000054  __TEXT,__text  func  __swift_instantiateConcreteTypeFromMangledNameV2
0x0000000284d141a0  0x0000004c  __TEXT,__text  swift  $s12RegexBuilder14CharacterClassVMa  // type metadata accessor for RegexBuilder.CharacterClass
0x0000000284d141ec  0x00000004  __TEXT,__text  swift  $s12RegexBuilder14CharacterClassV17_StringProcessing0A9ComponentAadEP5regexAD0A0Vy0A6OutputQzGvgTW  // protocol witness for _StringProcessing.RegexComponent.regex.getter : _StringProcessing.Regex<A.RegexOutput> in conformance RegexBuilder.CharacterClass : _StringProcessing.RegexComponent in RegexBuilder
0x0000000284d141f0  0x0000045c  __TEXT,__text  swift  $s12RegexBuilder14CharacterClassV8invertedACvg  // RegexBuilder.CharacterClass.inverted.getter : RegexBuilder.CharacterClass
0x0000000284d1464c  0x0000000c  __TEXT,__text  swift  $s17_StringProcessing14RegexComponentP0C7BuilderAD14CharacterClassVRszrlE3anyAFvgZ  // static (extension in RegexBuilder):_StringProcessing.RegexComponent< where A == RegexBuilder.CharacterClass>.any.getter : RegexBuilder.CharacterClass
0x0000000284d14658  0x0000000c  __TEXT,__text  swift  $s17_StringProcessing14RegexComponentP0C7BuilderAD14CharacterClassVRszrlE13anyNonNewlineAFvgZ  // static (extension in RegexBuilder):_StringProcessing.RegexComponent< where A == RegexBuilder.CharacterClass>.anyNonNewline.getter : RegexBuilder.CharacterClass
0x0000000284d14664  0x000001d8  __TEXT,__text  swift  $s17_StringProcessing14RegexComponentP0C7BuilderAD14CharacterClassVRszrlE3anyAFvgZTm  // merged static (extension in RegexBuilder):_StringProcessing.RegexComponent< where A == RegexBuilder.CharacterClass>.any.getter : RegexBuilder.CharacterClass
0x0000000284d1483c  0x0000000c  __TEXT,__text  swift  $s17_StringProcessing14RegexComponentP0C7BuilderAD14CharacterClassVRszrlE18anyGraphemeClusterAFvgZ  // static (extension in RegexBuilder):_StringProcessing.RegexComponent< where A == RegexBuilder.CharacterClass>.anyGraphemeCluster.getter : RegexBuilder.CharacterClass
0x0000000284d14848  0x0000000c  __TEXT,__text  swift  $s17_StringProcessing14RegexComponentP0C7BuilderAD14CharacterClassVRszrlE5digitAFvgZ  // static (extension in RegexBuilder):_StringProcessing.RegexComponent< where A == RegexBuilder.CharacterClass>.digit.getter : RegexBuilder.CharacterClass
0x0000000284d14854  0x00000298  __TEXT,__text  swift  $s17_StringProcessing14RegexComponentP0C7BuilderAD14CharacterClassVRszrlE18anyGraphemeClusterAFvgZTm  // merged static (extension in RegexBuilder):_StringProcessing.RegexComponent< where A == RegexBuilder.CharacterClass>.anyGraphemeCluster.getter : RegexBuilder.CharacterClass
0x0000000284d14aec  0x00000350  __TEXT,__text  swift  $s17_StringProcessing14RegexComponentP0C7BuilderAD14CharacterClassVRszrlE8hexDigitAFvgZ  // static (extension in RegexBuilder):_StringProcessing.RegexComponent< where A == RegexBuilder.CharacterClass>.hexDigit.getter : RegexBuilder.CharacterClass
0x0000000284d14e3c  0x0000000c  __TEXT,__text  swift  $s17_StringProcessing14RegexComponentP0C7BuilderAD14CharacterClassVRszrlE4wordAFvgZ  // static (extension in RegexBuilder):_StringProcessing.RegexComponent< where A == RegexBuilder.CharacterClass>.word.getter : RegexBuilder.CharacterClass
0x0000000284d14e48  0x0000000c  __TEXT,__text  swift  $s17_StringProcessing14RegexComponentP0C7BuilderAD14CharacterClassVRszrlE10whitespaceAFvgZ  // static (extension in RegexBuilder):_StringProcessing.RegexComponent< where A == RegexBuilder.CharacterClass>.whitespace.getter : RegexBuilder.CharacterClass
0x0000000284d14e54  0x0000000c  __TEXT,__text  swift  $s17_StringProcessing14RegexComponentP0C7BuilderAD14CharacterClassVRszrlE20horizontalWhitespaceAFvgZ  // static (extension in RegexBuilder):_StringProcessing.RegexComponent< where A == RegexBuilder.CharacterClass>.horizontalWhitespace.getter : RegexBuilder.CharacterClass
0x0000000284d14e60  0x0000000c  __TEXT,__text  swift  $s17_StringProcessing14RegexComponentP0C7BuilderAD14CharacterClassVRszrlE15newlineSequenceAFvgZ  // static (extension in RegexBuilder):_StringProcessing.RegexComponent< where A == RegexBuilder.CharacterClass>.newlineSequence.getter : RegexBuilder.CharacterClass
