//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-B7C5B4B8-77DD-4B91-9883-FAC9B827A9D5/System/Library/PrivateFrameworks/AppSandbox.framework/Versions/A/AppSandbox
// arch:    arm64e
// uuid:    93EB1ACE-6516-303F-A23F-FF64BB4BE749
// text:    0x000000019a75d000
// count:   763 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x000000019a75e960  0x000000ac  __TEXT,__text  func  AppSandboxUtilAddressBookLockPathURL
0x000000019a75f7b8  0x00000044  __TEXT,__text  objc  -[AppSandboxEntitlements .cxx_destruct]  // -[AppSandboxEntitlements �]
0x000000019a75f7fc  0x000001f0  __TEXT,__text  objc  +[AppSandboxEntitlements entitlementsForCodeIdentity:error:]  // +[AppSandboxEntitlements ?]
0x000000019a75f9ec  0x000000a8  __TEXT,__text  objc  -[AppSandboxRequest initWithCodeIdentity:entitlements:]  // -[AppSandboxRequest ?]
0x000000019a75fa94  0x00000058  __TEXT,__text  objc  +[AppSandboxRequest implicitMacosProfilePaths]  // +[AppSandboxRequest ?]
0x000000019a75faec  0x00000018  __TEXT,__text  func  __46+[AppSandboxRequest implicitMacosProfilePaths]_block_invoke
0x000000019a75fb04  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest setUserAccountName:]  // -[AppSandboxRequest ]
0x000000019a75fb0c  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest setUserAccountHomeDirectoryPath:]  // -[AppSandboxRequest ?]
0x000000019a75fb14  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest setMainExecutableBundlePath:]  // -[AppSandboxRequest ?]
0x000000019a75fb1c  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest setDeveloperMode:]  // -[AppSandboxRequest ?]
0x000000019a75fb24  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest userAccountHomeDirectoryPath]  // -[AppSandboxRequest R]
0x000000019a75fb2c  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setUserAccountHomeDirectoryRealPath:]  // -[AppSandboxRequest ?]
0x000000019a75fb70  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest userAccountHomeDirectoryRealPath]  // -[AppSandboxRequest ]
0x000000019a75fb78  0x0000009c  __TEXT,__text  objc  -[AppSandboxEntitlements arrayValueForEntitlement:]  // -[AppSandboxEntitlements ?]
0x000000019a75fc14  0x00000010  __TEXT,__text  objc  -[AppSandboxEntitlements arrayValueForEntitlement:error:]  // -[AppSandboxEntitlements ?]
0x000000019a75fc24  0x00000204  __TEXT,__text  func  entitlementValueArray
0x000000019a75fe28  0x0000003c  __TEXT,__text  objc  -[AppSandboxEntitlements allEntitlements]  // -[AppSandboxEntitlements ?]
0x000000019a75fe64  0x00000070  __TEXT,__text  objc  +[AppSandboxFolderRedirector folderRedirectorForUserWithHomeDirectory:error:]  // +[AppSandboxFolderRedirector ]
0x000000019a75fed4  0x000001ac  __TEXT,__text  objc  -[AppSandboxFolderRedirector initForUserWithHomeDirectory:error:]  // -[AppSandboxFolderRedirector ?]
0x000000019a760080  0x00000058  __TEXT,__text  objc  +[AppSandboxFolderRedirector redirectedFolders]  // +[AppSandboxFolderRedirector ?]
0x000000019a7600d8  0x000000b4  __TEXT,__text  func  __47+[AppSandboxFolderRedirector redirectedFolders]_block_invoke
0x000000019a76018c  0x00000108  __TEXT,__text  objc  +[AppSandboxFolderRedirector expandPathForFolder:withUserHomeDirectory:]  // +[AppSandboxFolderRedirector 
]
0x000000019a760294  0x000001c4  __TEXT,__text  objc  -[AppSandboxFolderRedirector resolvedRedirectedFolders]  // -[AppSandboxFolderRedirector ]
0x000000019a760458  0x00000044  __TEXT,__text  objc  -[AppSandboxFolderRedirector .cxx_destruct]  // -[AppSandboxFolderRedirector ?]
0x000000019a76049c  0x0000003c  __TEXT,__text  objc  -[AppSandboxFolderRedirector redirectedFolderPaths]  // -[AppSandboxFolderRedirector ?]
0x000000019a7604d8  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest mainExecutableBundlePath]  // -[AppSandboxRequest ?]
0x000000019a7604e0  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest userAccountName]  // -[AppSandboxRequest ?]
0x000000019a7604e8  0x00000010  __TEXT,__text  func  AppSandboxUtilAddressBookLockPathURLWithError
0x000000019a7604f8  0x00000010  __TEXT,__text  func  AppSandboxUtilCalendarLockPathURLWithError
0x000000019a760508  0x000000dc  __TEXT,__text  func  getConfstrPathForContainerId
0x000000019a7605e4  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest developerMode]  // -[AppSandboxRequest ?]
0x000000019a7605ec  0x00000110  __TEXT,__text  objc  -[AppSandboxRequest .cxx_destruct]  // -[AppSandboxRequest ]
0x000000019a7606fc  0x00000028  __TEXT,__text  sub  sub_19a7606fc
0x000000019a760724  0x00000028  __TEXT,__text  sub  sub_19a760724
0x000000019a76074c  0x00000028  __TEXT,__text  sub  sub_19a76074c
0x000000019a760774  0x0000005c  __TEXT,__text  func  AppSandboxUtilEntitlementsRequireSandboxForIdentity
0x000000019a7607d0  0x00000340  __TEXT,__text  func  AppSandboxUtilCollectionScopedBookmarkSecurityPolicyPermitsFD
0x000000019a760b10  0x00000228  __TEXT,__text  func  __AppSandboxUtilCollectionScopedBookmarkSecurityPolicyPermitsFD_block_invoke
0x000000019a760d38  0x000000a0  __TEXT,__text  func  AppSandboxUtilCollectionScopedBookmarkSecurityPolicyPermitsPath
0x000000019a760dd8  0x00000130  __TEXT,__text  func  AppSandboxUtilVersionStringToNumber
0x000000019a760f08  0x0000000c  __TEXT,__text  objc  -[NSDictionary(AppSandboxProfileSnippetInfo) profileSnippetPath]  // -[?(AppSandboxProfileSnippetInfo) ]
0x000000019a760f14  0x0000000c  __TEXT,__text  objc  -[NSDictionary(AppSandboxProfileSnippetInfo) profileSnippetModificationDate]  // -[?(AppSandboxProfileSnippetInfo) ?]
0x000000019a760f20  0x00000070  __TEXT,__text  objc  -[NSSandboxProfile initWithSandboxProfile:]  // -[NSSandboxProfile �?]
0x000000019a760f90  0x0000003c  __TEXT,__text  objc  +[NSSandboxProfile sandboxProfile:]  // +[NSSandboxProfile +]
0x000000019a760fcc  0x00000050  __TEXT,__text  objc  -[NSSandboxProfile dealloc]  // -[NSSandboxProfile ?]
0x000000019a76101c  0x00000008  __TEXT,__text  objc  -[NSSandboxProfile profile]  // -[NSSandboxProfile ?]
0x000000019a761024  0x000000c4  __TEXT,__text  objc  +[NSData(sandbox_profile_t) dataWithSandboxProfileNoCopy:]  // +[?(sandbox_profile_t) ?]
0x000000019a7610e8  0x00000034  __TEXT,__text  objc  +[AppSandboxRequest _setFatalError:withMessage:]  // +[AppSandboxRequest ?]
0x000000019a76111c  0x0000002c  __TEXT,__text  objc  +[AppSandboxRequest _setFatalError:withUserInfo:Message:]  // +[AppSandboxRequest ?]
0x000000019a761148  0x0000017c  __TEXT,__text  objc  +[AppSandboxRequest _setFatalError:withUserInfo:Message:Parameters:]  // +[AppSandboxRequest ?]
0x000000019a7612c4  0x00000078  __TEXT,__text  objc  -[AppSandboxRequest screenSaverRequest]  // -[AppSandboxRequest ]
0x000000019a76133c  0x00000064  __TEXT,__text  func  __39-[AppSandboxRequest screenSaverRequest]_block_invoke
0x000000019a7613a0  0x00000058  __TEXT,__text  objc  +[AppSandboxRequest implicitIosProfilePaths]  // +[AppSandboxRequest ?]
0x000000019a7613f8  0x00000018  __TEXT,__text  func  __44+[AppSandboxRequest implicitIosProfilePaths]_block_invoke
0x000000019a761410  0x000002a4  __TEXT,__text  objc  +[AppSandboxRequest appSandboxRequestForAuditToken:error:]  // +[AppSandboxRequest ]
0x000000019a7616b4  0x000002a8  __TEXT,__text  objc  +[AppSandboxRequest appSandboxRequestForApplicationAtURL:error:]  // +[AppSandboxRequest ?]
0x000000019a76195c  0x00000e30  __TEXT,__text  objc  -[AppSandboxRequest generateSandboxProfileValidationInfo:]  // -[AppSandboxRequest ]
0x000000019a76278c  0x00000768  __TEXT,__text  objc  -[AppSandboxRequest compileSandboxProfileWithError:]  // -[AppSandboxRequest ?]
0x000000019a762ef4  0x0000009c  __TEXT,__text  func  add_internal_entitlement_with_value
0x000000019a762f90  0x000000b8  __TEXT,__text  objc  -[AppSandboxRequest deriveQuarantineFlags]  // -[AppSandboxRequest B]
0x000000019a763048  0x000008fc  __TEXT,__text  objc  -[AppSandboxRequest containerWithError:]  // -[AppSandboxRequest ?]
0x000000019a763944  0x00000050  __TEXT,__text  func  __40-[AppSandboxRequest containerWithError:]_block_invoke
0x000000019a763994  0x00000050  __TEXT,__text  func  __copy_helper_block_e8_32r40r
0x000000019a7639e4  0x00000044  __TEXT,__text  func  __destroy_helper_block_e8_32r40r
0x000000019a763a28  0x000000c0  __TEXT,__text  func  __40-[AppSandboxRequest containerWithError:]_block_invoke.219
0x000000019a763ae8  0x00000044  __TEXT,__text  func  __copy_helper_block_e8_32s40s48s
0x000000019a763b2c  0x00000044  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48s
0x000000019a763b70  0x00000468  __TEXT,__text  objc  -[AppSandboxRequest displaySharingConsentPrompt:]  // -[AppSandboxRequest ]
0x000000019a763fd8  0x00000080  __TEXT,__text  func  localize_string
0x000000019a764058  0x00000eb0  __TEXT,__text  objc  -[AppSandboxRequest appsandboxContainerSync:]  // -[AppSandboxRequest ?]
0x000000019a764f08  0x00000100  __TEXT,__text  func  sendOwnershipTelemetry
0x000000019a765008  0x00000294  __TEXT,__text  objc  -[AppSandboxRequest augmentError:]  // -[AppSandboxRequest ?]
0x000000019a76529c  0x000001fc  __TEXT,__text  objc  -[AppSandboxRequest getSandboxProfileWithError:]  // -[AppSandboxRequest ?]
0x000000019a765498  0x000006dc  __TEXT,__text  objc  -[AppSandboxRequest executeRequestWithError:]  // -[AppSandboxRequest ]
0x000000019a765b74  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x000000019a765b84  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x000000019a765b8c  0x000000dc  __TEXT,__text  func  __45-[AppSandboxRequest executeRequestWithError:]_block_invoke
0x000000019a765c68  0x00000048  __TEXT,__text  func  __copy_helper_block_e8_32s40r
0x000000019a765cb0  0x00000040  __TEXT,__text  func  __destroy_helper_block_e8_32s40r
0x000000019a765cf0  0x00000058  __TEXT,__text  func  __45-[AppSandboxRequest executeRequestWithError:]_block_invoke.268
0x000000019a765d48  0x000002f0  __TEXT,__text  func  __45-[AppSandboxRequest executeRequestWithError:]_block_invoke.271
0x000000019a766038  0x000000f0  __TEXT,__text  objc  -[AppSandboxRequest _profileTimestampsAreValid]  // -[AppSandboxRequest ?]
0x000000019a766128  0x0000011c  __TEXT,__text  objc  -[AppSandboxRequest _createAndPopulateGroupContainerTokens]  // -[AppSandboxRequest ]
0x000000019a766244  0x00000078  __TEXT,__text  func  __59-[AppSandboxRequest _createAndPopulateGroupContainerTokens]_block_invoke
0x000000019a7662bc  0x00000008  __TEXT,__text  func  __copy_helper_block_e8_32s
0x000000019a7662c4  0x00000008  __TEXT,__text  func  __destroy_helper_block_e8_32s
0x000000019a7662cc  0x0000000c  __TEXT,__text  objc  -[AppSandboxRequest auditToken]  // -[AppSandboxRequest ]
0x000000019a7662d8  0x0000000c  __TEXT,__text  objc  -[AppSandboxRequest setAuditToken:]  // -[AppSandboxRequest ?]
0x000000019a7662e4  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest userId]  // -[AppSandboxRequest  ]
0x000000019a7662ec  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest setUserId:]  // -[AppSandboxRequest ]
0x000000019a7662f4  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest groupId]  // -[AppSandboxRequest ?]
0x000000019a7662fc  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest setGroupId:]  // -[AppSandboxRequest ?]
0x000000019a766304  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest mainExecutableBundleRealPath]  // -[AppSandboxRequest ]
0x000000019a76630c  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setMainExecutableBundleRealPath:]  // -[AppSandboxRequest ?]
0x000000019a766350  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest systemProfiles]  // -[AppSandboxRequest ]
0x000000019a766358  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setSystemProfiles:]  // -[AppSandboxRequest ]
0x000000019a76639c  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest systemImages]  // -[AppSandboxRequest ?]
0x000000019a7663a4  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setSystemImages:]  // -[AppSandboxRequest ?]
0x000000019a7663e8  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest otherImages]  // -[AppSandboxRequest ?]
0x000000019a7663f0  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setOtherImages:]  // -[AppSandboxRequest ]
0x000000019a766434  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest iOSAppOnMac]  // -[AppSandboxRequest ?]
0x000000019a76643c  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest setIOSAppOnMac:]  // -[AppSandboxRequest ?]
0x000000019a766444  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest saveContainer]  // -[AppSandboxRequest ?]
0x000000019a76644c  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest setSaveContainer:]  // -[AppSandboxRequest ?]
0x000000019a766454  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest sandboxProfile]  // -[AppSandboxRequest ?]
0x000000019a76645c  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setSandboxProfile:]  // -[AppSandboxRequest ?]
0x000000019a7664a0  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest containerDataPath]  // -[AppSandboxRequest ]
0x000000019a7664a8  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setContainerDataPath:]  // -[AppSandboxRequest ?]
0x000000019a7664ec  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest containerIdentifier]  // -[AppSandboxRequest eworks/MediaToolbox.framework/Versions/A/MediaToolbox]
0x000000019a7664f4  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setContainerIdentifier:]  // -[AppSandboxRequest ?]
0x000000019a766538  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest quarantineFlags]  // -[AppSandboxRequest ?]
0x000000019a766540  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setQuarantineFlags:]  // -[AppSandboxRequest ?]
0x000000019a766584  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest extensionTokens]  // -[AppSandboxRequest ?]
0x000000019a76658c  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setExtensionTokens:]  // -[AppSandboxRequest ?]
0x000000019a7665d0  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest requiresMigration]  // -[AppSandboxRequest ?]
0x000000019a7665d8  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest setRequiresMigration:]  // -[AppSandboxRequest ?]
0x000000019a7665e0  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest sandboxProfileValidationInfo]  // -[AppSandboxRequest ?]
0x000000019a7665e8  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setSandboxProfileValidationInfo:]  // -[AppSandboxRequest ?]
0x000000019a76662c  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest sync]  // -[AppSandboxRequest ?]
0x000000019a766634  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setSync:]  // -[AppSandboxRequest ?]
0x000000019a766678  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest identity]  // -[AppSandboxRequest ]
0x000000019a766680  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setIdentity:]  // -[AppSandboxRequest ?]
0x000000019a7666c4  0x00000008  __TEXT,__text  objc  -[AppSandboxRequest mainBundleIdentifier]  // -[AppSandboxRequest ?]
0x000000019a7666cc  0x00000044  __TEXT,__text  objc  -[AppSandboxRequest setMainBundleIdentifier:]  // -[AppSandboxRequest ?]
0x000000019a766710  0x00000060  __TEXT,__text  func  __redirected_paths_table_block_invoke
0x000000019a766770  0x00000064  __TEXT,__text  func  __localize_string_block_invoke
0x000000019a7667d4  0x00000790  __TEXT,__text  func  __sendOwnershipTelemetry_block_invoke
0x000000019a766f64  0x0000004c  __TEXT,__text  func  __copy_helper_block_e8_32s40s48s56s
0x000000019a766fb0  0x0000004c  __TEXT,__text  func  __destroy_helper_block_e8_32s40s48s56s
0x000000019a766ffc  0x00000058  __TEXT,__text  func  codeRequirementMatchingAnyAdHocSignedBinary
0x000000019a767054  0x00000078  __TEXT,__text  func  codereqsafe
0x000000019a7670cc  0x000000ac  __TEXT,__text  func  codeRequirementForText
0x000000019a767178  0x00000058  __TEXT,__text  func  __doesACLIncludeRequirementForAdHocSignature_block_invoke
0x000000019a7671d0  0x0000009c  __TEXT,__text  func  __codeRequirementMatchingAnyAdHocSignedBinary_block_invoke
0x000000019a76726c  0x0000016c  __TEXT,__text  func  __sendConsentTelemetry_block_invoke
0x000000019a7673d8  0x0000003c  __TEXT,__text  func  __copy_helper_block_e8_32s40s
0x000000019a767414  0x0000003c  __TEXT,__text  func  __destroy_helper_block_e8_32s40s
0x000000019a767450  0x0000001c  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x000000019a76746c  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_1
0x000000019a767480  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x000000019a767494  0x00000010  __TEXT,__text  func  OUTLINED_FUNCTION_3
0x000000019a7674a4  0x0000000c  __TEXT,__text  func  OUTLINED_FUNCTION_4
0x000000019a7674b0  0x0000000c  __TEXT,__text  func  OUTLINED_FUNCTION_5
0x000000019a7674bc  0x00000098  __TEXT,__text  objc  -[NSBundle(AppSandboxAdditions) sandboxProfilePath]  // -[?(AppSandboxAdditions) h]
0x000000019a767554  0x00000078  __TEXT,__text  func  __51-[NSBundle(AppSandboxAdditions) sandboxProfilePath]_block_invoke
0x000000019a7675cc  0x0000025c  __TEXT,__text  objc  +[AppSandboxFolderRedirector folderRedirectorForUID:error:]  // +[AppSandboxFolderRedirector ?]
0x000000019a767828  0x000000e0  __TEXT,__text  objc  -[AppSandboxFolderRedirector isRedirectionEnabledForPath:]  // -[AppSandboxFolderRedirector ?]
0x000000019a767908  0x00000080  __TEXT,__text  objc  +[AppSandboxEntitlements entitlementsForCodeAtURL:error:]  // +[AppSandboxEntitlements ?]
0x000000019a767988  0x00000124  __TEXT,__text  func  setError
0x000000019a767aac  0x0000007c  __TEXT,__text  objc  -[AppSandboxEntitlements hasEntitlement:value:error:]  // -[AppSandboxEntitlements ?]
0x000000019a767b28  0x00000118  __TEXT,__text  func  __57-[AppSandboxEntitlements __requestsInheritanceOfSandbox:]_block_invoke
0x000000019a767c40  0x0000000c  __TEXT,__text  objc  -[AppSandboxEntitlements requestsAppSandbox:]  // -[AppSandboxEntitlements ?]
0x000000019a767c4c  0x00000018  __TEXT,__text  func  OUTLINED_FUNCTION_0
0x000000019a767c64  0x00000014  __TEXT,__text  func  OUTLINED_FUNCTION_2
0x000000019a767c78  0x0000004c  __TEXT,__text  swift  $s10AppSandbox3log33_54B65047D401FDC446F81EDCF95B4C8FLL_WZ  // one-time initialization function for (log in _54B65047D401FDC446F81EDCF95B4C8F)
0x000000019a767cc4  0x00000028  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryO4fromyACs6UInt32VFZ  // static AppSandbox.ValidationCategory.from(Swift.UInt32) -> AppSandbox.ValidationCategory
0x000000019a767cec  0x00000260  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryO5tokenACSgSo06audit_E2_ta_tcfC  // AppSandbox.ValidationCategory.init(token: __C.audit_token_t) -> Swift.Optional<AppSandbox.ValidationCategory>
0x000000019a767f4c  0x00000038  __TEXT,__text  func  __swift_project_value_buffer
0x000000019a767f84  0x0000005c  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryO8rawValueACSgSS_tcfC  // AppSandbox.ValidationCategory.init(rawValue: Swift.String) -> Swift.Optional<AppSandbox.ValidationCategory>
0x000000019a767fe0  0x0000000c  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryO8allCasesSayACGvgZ  // static AppSandbox.ValidationCategory.allCases.getter : Swift.Array<AppSandbox.ValidationCategory>
0x000000019a767fec  0x00000130  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryO8rawValueSSvg  // AppSandbox.ValidationCategory.rawValue.getter : Swift.String
0x000000019a76811c  0x00000048  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryOSHAASH9hashValueSivgTW  // protocol witness for Swift.Hashable.hashValue.getter : Swift.Int in conformance AppSandbox.ValidationCategory : Swift.Hashable in AppSandbox
0x000000019a768164  0x00000008  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryOSHAASH4hash4intoys6HasherVz_tFTW  // protocol witness for Swift.Hashable.hash(into: inout Swift.Hasher) -> () in conformance AppSandbox.ValidationCategory : Swift.Hashable in AppSandbox
0x000000019a76816c  0x00000168  __TEXT,__text  swift  $sSYsSHRzSH8RawValueSYRpzrlE4hash4intoys6HasherVz_tF10AppSandbox18ValidationCategoryO_TB5  // generic specialization <AppSandbox.ValidationCategory> of (extension in Swift):Swift.RawRepresentable< where A: Swift.Hashable, A.Swift.RawRepresentable.RawValue: Swift.Hashable>.hash(into: inout Swift.Hasher) -> ()
0x000000019a7682d4  0x00000044  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryOSHAASH13_rawHashValue4seedS2i_tFTW  // protocol witness for Swift.Hashable._rawHashValue(seed: Swift.Int) -> Swift.Int in conformance AppSandbox.ValidationCategory : Swift.Hashable in AppSandbox
0x000000019a768318  0x0000000c  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryOSYAASY8rawValuexSg03RawF0Qz_tcfCTW  // protocol witness for Swift.RawRepresentable.init(rawValue: A.RawValue) -> Swift.Optional<A> in conformance AppSandbox.ValidationCategory : Swift.RawRepresentable in AppSandbox
0x000000019a768324  0x00000028  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryOSYAASY8rawValue03RawF0QzvgTW  // protocol witness for Swift.RawRepresentable.rawValue.getter : A.RawValue in conformance AppSandbox.ValidationCategory : Swift.RawRepresentable in AppSandbox
0x000000019a76834c  0x00000010  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryOs12CaseIterableAAsADP8allCases03AllH0QzvgZTW  // protocol witness for static Swift.CaseIterable.allCases.getter : A.AllCases in conformance AppSandbox.ValidationCategory : Swift.CaseIterable in AppSandbox
0x000000019a76835c  0x00000060  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryOSeAASe4fromxs7Decoder_p_tKcfCTW  // protocol witness for Swift.Decodable.init(from: Swift.Decoder) throws -> A in conformance AppSandbox.ValidationCategory : Swift.Decodable in AppSandbox
0x000000019a7683bc  0x00000050  __TEXT,__text  swift  $s10AppSandbox18ValidationCategoryOSEAASE6encode2toys7Encoder_p_tKFTW  // protocol witness for Swift.Encodable.encode(to: Swift.Encoder) throws -> () in conformance AppSandbox.ValidationCategory : Swift.Encodable in AppSandbox
0x000000019a76840c  0x000002b4  __TEXT,__text  swift  $s10AppSandbox17ASBBinaryIdentityC18CodeSignatureErrorO20localizedDescriptionSSvg  // AppSandbox.ASBBinaryIdentity.CodeSignatureError.localizedDescription.getter : Swift.String
0x000000019a7686c0  0x00000004  __TEXT,__text  swift  $s10AppSandbox11ASBOwnerSetC20DeserializationErrorOs0F0AAsAFP7_domainSSvgTW  // protocol witness for Swift.Error._domain.getter : Swift.String in conformance AppSandbox.ASBOwnerSet.DeserializationError : Swift.Error in AppSandbox  // aliases: $s10AppSandbox17ASBBinaryIdentityC18CodeSignatureErrorOs0G0AAsAFP7_domainSSvgTW
0x000000019a7686c4  0x00000004  __TEXT,__text  swift  $s10AppSandbox11ASBOwnerSetC20DeserializationErrorOs0F0AAsAFP5_codeSivgTW  // protocol witness for Swift.Error._code.getter : Swift.Int in conformance AppSandbox.ASBOwnerSet.DeserializationError : Swift.Error in AppSandbox  // aliases: $s10AppSandbox17ASBBinaryIdentityC18CodeSignatureErrorOs0G0AAsAFP5_codeSivgTW
0x000000019a7686c8  0x00000004  __TEXT,__text  swift  $s10AppSandbox11ASBOwnerSetC20DeserializationErrorOs0F0AAsAFP9_userInfoyXlSgvgTW  // protocol witness for Swift.Error._userInfo.getter : Swift.Optional<Swift.AnyObject> in conformance AppSandbox.ASBOwnerSet.DeserializationError : Swift.Error in AppSandbox  // aliases: $s10AppSandbox17ASBBinaryIdentityC18CodeSignatureErrorOs0G0AAsAFP9_userInfoyXlSgvgTW
0x000000019a7686cc  0x00000004  __TEXT,__text  swift  $s10AppSandbox11ASBOwnerSetC20DeserializationErrorOs0F0AAsAFP19_getEmbeddedNSErroryXlSgyFTW  // protocol witness for Swift.Error._getEmbeddedNSError() -> Swift.Optional<Swift.AnyObject> in conformance AppSandbox.ASBOwnerSet.DeserializationError : Swift.Error in AppSandbox  // aliases: $s10AppSandbox17ASBBinaryIdentityC18CodeSignatureErrorOs0G0AAsAFP19_getEmbeddedNSErroryXlSgyFTW
