//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SharedWebCredentials.framework/Versions/A/SharedWebCredentials
// arch:    arm64e
// uuid:    CBF4DB42-28FB-37B8-A82C-23CC61910540
// text:    0x0000000191b8b000
// count:   844 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000191b8c1f0  0x000006f0  __TEXT,__text  objc  -[_SWCPattern initWithDictionary:defaults:]  // -[_SWCPattern 'E12]
0x0000000191b90198  0x00000008  __TEXT,__text  objc  +[_SWCSubstitutionVariableList supportsSecureCoding]  // +[_SWCSubstitutionVariableList ?]
0x0000000191b901a0  0x00000148  __TEXT,__text  objc  -[_SWCSubstitutionVariableList encodeWithCoder:]  // -[_SWCSubstitutionVariableList CBDSRangeHysteresisFactor]
0x0000000191b902e8  0x000005f0  __TEXT,__text  objc  -[_SWCSubstitutionVariableList initWithCoder:]  // -[_SWCSubstitutionVariableList ?]
0x0000000191b908d8  0x0000015c  __TEXT,__text  cxx  __ZNK23SWCSubstitutionVariable15getValuesNoCopyEv  // SWCSubstitutionVariable::getValuesNoCopy() const
0x0000000191b90a34  0x00000070  __TEXT,__text  cxx  __ZNK23SWCSubstitutionVariable13getNameNoCopyEv  // SWCSubstitutionVariable::getNameNoCopy() const
0x0000000191b90aa4  0x00000284  __TEXT,__text  objc  +[_SWCPattern(Private) _normalizedURLPath:]  // +[_SWCPattern ?]
0x0000000191b90d28  0x00000530  __TEXT,__text  objc  +[_SWCPattern(Private) _debug:descriptionOfStorage:forObject:redacted:]  // +[_SWCPattern ]
0x0000000191b91258  0x00000108  __TEXT,__text  func  __71+[_SWCPattern(Private) _debug:descriptionOfStorage:forObject:redacted:]_block_invoke
0x0000000191b91360  0x000003e8  __TEXT,__text  cxx  __ZN17SWCPatternStorage15_EvaluateStringEP8NSStringRKNSt3__117basic_string_viewIcNS2_11char_traitsIcEEEEPK10SWCFNMatchib  // SWCPatternStorage::_EvaluateString(NSString*, std::__1::basic_string_view<char, std::__1::char_traits<char>> const&, SWCFNMatch const*, int, bool)
0x0000000191b91748  0x000001d4  __TEXT,__text  cxx  __ZN17SWCPatternStorage22_ReconstituteQueryJSONERKNSt3__117basic_string_viewIcNS0_11char_traitsIcEEEE  // SWCPatternStorage::_ReconstituteQueryJSON(std::__1::basic_string_view<char, std::__1::char_traits<char>> const&)
0x0000000191b9191c  0x0000005c  __TEXT,__text  func  ___ZN17SWCPatternStorage22_ReconstituteQueryJSONERKNSt3__117basic_string_viewIcNS0_11char_traitsIcEEEE_block_invoke
0x0000000191b91978  0x00000010  __TEXT,__text  func  __copy_helper_block_ea8_32r
0x0000000191b91988  0x0000000c  __TEXT,__text  func  __destroy_helper_block_ea8_32r
0x0000000191b91994  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x0000000191b919a4  0x00000004  __TEXT,__text  func  __Block_byref_object_dispose_
0x0000000191b919a8  0x000000e0  __TEXT,__text  cxx  __Z20SWCGetFastUTF8StringILm1024EENSt3__18optionalINS0_17basic_string_viewIcNS0_11char_traitsIcEEEEEEP8NSStringRNS0_5arrayIcXT_EEE  // std::__1::optional<std::__1::basic_string_view<char, std::__1::char_traits<char>>> SWCGetFastUTF8String<1024ul>(NSString*, std::__1::array<char, 1024ul>&)
0x0000000191b91a88  0x000000b0  __TEXT,__text  func  ___ZN17SWCPatternStorage18_EvaluateQueryJSONEP7NSArrayIP14NSURLQueryItemERKNSt3__117basic_string_viewIcNS5_11char_traitsIcEEEEPK10SWCFNMatchi_block_invoke
0x0000000191b91b38  0x00000058  __TEXT,__text  func  __copy_helper_block_ea8_32s40r48r
0x0000000191b91b90  0x0000004c  __TEXT,__text  func  __destroy_helper_block_ea8_32s40r48r
0x0000000191b91bdc  0x00000120  __TEXT,__text  cxx  __ZN17SWCPatternStorage17_CheckEntitlementEPK13audit_token_tRKNSt3__117basic_string_viewIcNS3_11char_traitsIcEEEE  // SWCPatternStorage::_CheckEntitlement(audit_token_t const*, std::__1::basic_string_view<char, std::__1::char_traits<char>> const&)
0x0000000191b91cfc  0x00000014  __TEXT,__text  func  ___ZN17SWCPatternStorage13GetTerminatorEv_block_invoke
0x0000000191b91d10  0x00000078  __TEXT,__text  cxx  __ZNKSt3__117basic_string_viewIcNS_11char_traitsIcEEE4findB9nqn210106EPKcm  // std::__1::basic_string_view<char, std::__1::char_traits<char>>::find[abi:nqn210106](char const*, unsigned long) const
0x0000000191b91d88  0x00000068  __TEXT,__text  cxx  __ZL6getLogv  // getLog()
0x0000000191b91df0  0x0000006c  __TEXT,__text  cxx  __ZL34SWCGetNSStringFromStringViewNoCopyRKNSt3__117basic_string_viewIcNS_11char_traitsIcEEEE  // SWCGetNSStringFromStringViewNoCopy(std::__1::basic_string_view<char, std::__1::char_traits<char>> const&)
0x0000000191b91e5c  0x00000014  __TEXT,__text  func  ___ZN23SWCSubstitutionVariable13GetTerminatorEv_block_invoke
0x0000000191b91e70  0x00000448  __TEXT,__text  cxx  __ZL29SWCEnumerateStructureSequenceI23SWCSubstitutionVariableZNK10SWCFNMatch12_getVariableERKNSt3__117basic_string_viewIcNS2_11char_traitsIcEEEEE3$_0EvPKT_RKT0_  // void SWCEnumerateStructureSequence<SWCSubstitutionVariable, SWCFNMatch::_getVariable(std::__1::basic_string_view<char, std::__1::char_traits<char>> const&) const::$_0>(SWCSubstitutionVariable const*, SWCFNMatch::_getVariable(std::__1::basic_string_view<char, std::__1::char_traits<char>> const&) const::$_0 const&)
0x0000000191b922b8  0x00000860  __TEXT,__text  cxx  __ZNK10SWCFNMatch8_executeERKNSt3__117basic_string_viewIcNS0_11char_traitsIcEEEES6_i  // SWCFNMatch::_execute(std::__1::basic_string_view<char, std::__1::char_traits<char>> const&, std::__1::basic_string_view<char, std::__1::char_traits<char>> const&, int) const
0x0000000191b92b18  0x00000194  __TEXT,__text  cxx  __ZNK10SWCFNMatch20_decodeUTF8CharacterEPKcS1_  // SWCFNMatch::_decodeUTF8Character(char const*, char const*) const
0x0000000191b92cac  0x00000048  __TEXT,__text  func  ___ZL6getLogv_block_invoke
0x0000000191b92cf4  0x00000434  __TEXT,__text  cxx  __ZNKSt3__121__murmur2_or_cityhashImLm64EEclB9nqn210106EPKvm  // std::__1::__murmur2_or_cityhash<unsigned long, 64ul>::operator()[abi:nqn210106](void const*, unsigned long) const
0x0000000191b93128  0x000003bc  __TEXT,__text  cxx  __ZZNK10SWCFNMatch20_tryMatchingVariableEPK23SWCSubstitutionVariableRKNSt3__117basic_string_viewIcNS3_11char_traitsIcEEEES9_iENK3$_0clES9_Pb  // SWCFNMatch::_tryMatchingVariable(SWCSubstitutionVariable const*, std::__1::basic_string_view<char, std::__1::char_traits<char>> const&, std::__1::basic_string_view<char, std::__1::char_traits<char>> const&, int) const::$_0::operator()(std::__1::basic_string_view<char, std::__1::char_traits<char>> const&, bool*) const
0x0000000191b934e4  0x0000004c  __TEXT,__text  cxx  __ZNSt3__112__hash_tableINS_17__hash_value_typeINS_17basic_string_viewIcNS_11char_traitsIcEEEEPK23SWCSubstitutionVariableEENS_22__unordered_map_hasherIS5_NS_4pairIKS5_S8_EENS_4hashIS5_EENS_8equal_toIS5_EELb1EEENS_21__unordered_map_equalIS5_SD_SH_SF_Lb1EEENS_9allocatorISD_EEED2Ev  // std::__1::__hash_table<std::__1::__hash_value_type<std::__1::basic_string_view<char, std::__1::char_traits<char>>, SWCSubstitutionVariable const*>, std::__1::__unordered_map_hasher<std::__1::basic_string_view<char, std::__1::char_traits<char>>, std::__1::pair<std::__1::basic_string_view<char, std::__1::char_traits<char>> const, SWCSubstitutionVariable const*>, std::__1::hash<std::__1::basic_string_view<char, std::__1::char_traits<char>>>, std::__1::equal_to<std::__1::basic_string_view<char, std::__1::char_traits<char>>>, true>, std::__1::__unordered_map_equal<std::__1::basic_string_view<char, std::__1::char_traits<char>>, std::__1::pair<std::__1::basic_string_view<char, std::__1::char_traits<char>> const, SWCSubstitutionVariable const*>, std::__1::equal_to<std::__1::basic_string_view<char, std::__1::char_traits<char>>>, std::__1::hash<std::__1::basic_string_view<char, std::__1::char_traits<char>>>, true>, std::__1::allocator<std::__1::pair<std::__1::basic_string_view<char, std::__1::char_traits<char>> const, SWCSubstitutionVariable const*>>>::~__hash_table()
0x0000000191b93530  0x000000b4  __TEXT,__text  objc  +[_SWCServiceSettings notificationCenter]  // +[_SWCServiceSettings ]
0x0000000191b935e4  0x000000e0  __TEXT,__text  func  __41+[_SWCServiceSettings notificationCenter]_block_invoke
0x0000000191b936c4  0x000002e0  __TEXT,__text  objc  +[_SWCServiceSettings serviceSettingsWithServiceSpecifier:error:]  // +[_SWCServiceSettings ?]
0x0000000191b939a4  0x00000010  __TEXT,__text  func  __Block_byref_object_copy_
0x0000000191b939b4  0x00000008  __TEXT,__text  func  __Block_byref_object_dispose_
0x0000000191b939bc  0x0000004c  __TEXT,__text  func  __65+[_SWCServiceSettings serviceSettingsWithServiceSpecifier:error:]_block_invoke
0x0000000191b93a08  0x00000088  __TEXT,__text  func  __65+[_SWCServiceSettings serviceSettingsWithServiceSpecifier:error:]_block_invoke.17
0x0000000191b93a90  0x00000050  __TEXT,__text  func  __copy_helper_block_ea8_32r40r
0x0000000191b93ae0  0x00000044  __TEXT,__text  func  __destroy_helper_block_ea8_32r40r
0x0000000191b93b24  0x00000184  __TEXT,__text  objc  -[_SWCServiceSettings objectForKey:ofClass:]  // -[_SWCServiceSettings ?]
0x0000000191b93ca8  0x000002cc  __TEXT,__text  objc  -[_SWCServiceSettings objectForKey:ofClass:valuesOfClass:]  // -[_SWCServiceSettings ?]
0x0000000191b93f74  0x00000048  __TEXT,__text  func  __58-[_SWCServiceSettings objectForKey:ofClass:valuesOfClass:]_block_invoke
0x0000000191b93fbc  0x000001f4  __TEXT,__text  objc  -[_SWCServiceSettings setObject:forKey:]  // -[_SWCServiceSettings ?]
0x0000000191b941b0  0x00000234  __TEXT,__text  objc  -[_SWCServiceSettings commitReturningError:]  // -[_SWCServiceSettings ]
0x0000000191b943e4  0x0000004c  __TEXT,__text  func  __44-[_SWCServiceSettings commitReturningError:]_block_invoke
0x0000000191b94430  0x000000a8  __TEXT,__text  func  __44-[_SWCServiceSettings commitReturningError:]_block_invoke_2
0x0000000191b944d8  0x0000000c  __TEXT,__text  objc  -[_SWCServiceSettings hasChanges]  // -[_SWCServiceSettings ?]
0x0000000191b944e4  0x0000011c  __TEXT,__text  objc  -[_SWCServiceSettings _initWithServiceSpecifier:dictionary:generation:]  // -[_SWCServiceSettings EFy]
0x0000000191b94600  0x0000002c  __TEXT,__text  objc  -[_SWCServiceSettings dictionaryRepresentation]  // -[_SWCServiceSettings ]
0x0000000191b9462c  0x00000204  __TEXT,__text  objc  +[_SWCServiceSettings serviceSettingsDidChange:]  // +[_SWCServiceSettings ]
0x0000000191b94830  0x00000240  __TEXT,__text  objc  +[_SWCServiceSettings postChangeNotificationForServiceSpecifier:]  // +[_SWCServiceSettings ?]
0x0000000191b94a70  0x0000006c  __TEXT,__text  func  __65+[_SWCServiceSettings postChangeNotificationForServiceSpecifier:]_block_invoke
0x0000000191b94adc  0x000000b0  __TEXT,__text  func  __65+[_SWCServiceSettings postChangeNotificationForServiceSpecifier:]_block_invoke_2
0x0000000191b94b8c  0x000000a4  __TEXT,__text  objc  -[_SWCServiceSettings description]  // -[_SWCServiceSettings ?]
0x0000000191b94c30  0x000000ac  __TEXT,__text  objc  -[_SWCServiceSettings debugDescription]  // -[_SWCServiceSettings ?]
0x0000000191b94cdc  0x000000cc  __TEXT,__text  objc  -[_SWCServiceSettings redactedDescription]  // -[_SWCServiceSettings ?]
0x0000000191b94da8  0x00000008  __TEXT,__text  objc  +[_SWCServiceSettings supportsSecureCoding]  // +[_SWCServiceSettings ?]
0x0000000191b94db0  0x00000090  __TEXT,__text  objc  -[_SWCServiceSettings encodeWithCoder:]  // -[_SWCServiceSettings PILMinimumAchievableAutoBrightness]
0x0000000191b94e40  0x00000660  __TEXT,__text  objc  -[_SWCServiceSettings initWithCoder:]  // -[_SWCServiceSettings ?]
0x0000000191b954a0  0x0000000c  __TEXT,__text  objc  -[_SWCServiceSettings serviceSpecifier]  // -[_SWCServiceSettings ?]
0x0000000191b954ac  0x0000000c  __TEXT,__text  objc  -[_SWCServiceSettings generation]  // -[_SWCServiceSettings ?]
0x0000000191b954b8  0x00000050  __TEXT,__text  objc  -[_SWCServiceSettings .cxx_destruct]  // -[_SWCServiceSettings ]
0x0000000191b95508  0x000002ac  __TEXT,__text  objc  +[_SWCServiceSettings(Removal) removeObjectsForKeys:serviceType:error:]  // +[_SWCServiceSettings ]
0x0000000191b957b4  0x0000004c  __TEXT,__text  func  __71+[_SWCServiceSettings(Removal) removeObjectsForKeys:serviceType:error:]_block_invoke
0x0000000191b95800  0x00000064  __TEXT,__text  func  __71+[_SWCServiceSettings(Removal) removeObjectsForKeys:serviceType:error:]_block_invoke_2
0x0000000191b95864  0x000002ac  __TEXT,__text  objc  +[_SWCServiceSettings(Removal) removeObjectsForKeys:serviceSpecifier:error:]  // +[_SWCServiceSettings ?]
0x0000000191b95b10  0x0000004c  __TEXT,__text  func  __76+[_SWCServiceSettings(Removal) removeObjectsForKeys:serviceSpecifier:error:]_block_invoke
0x0000000191b95b5c  0x00000064  __TEXT,__text  func  __76+[_SWCServiceSettings(Removal) removeObjectsForKeys:serviceSpecifier:error:]_block_invoke_2
0x0000000191b95bc0  0x00000048  __TEXT,__text  func  ___ZL6getLogv_block_invoke
0x0000000191b95c08  0x000000d4  __TEXT,__text  objc  -[_SWCGeneration init]  // -[_SWCGeneration ?]
0x0000000191b95cdc  0x0000004c  __TEXT,__text  objc  -[_SWCGeneration generationByIncrementingSelf]  // -[_SWCGeneration ]
0x0000000191b95d28  0x00000060  __TEXT,__text  objc  -[_SWCGeneration initWithPID:version:tick:]  // -[_SWCGeneration A'1E3]
0x0000000191b95d88  0x00000010  __TEXT,__text  objc  -[_SWCGeneration hash]  // -[_SWCGeneration ?]
0x0000000191b95d98  0x000000c8  __TEXT,__text  objc  -[_SWCGeneration isEqual:]  // -[_SWCGeneration ?]
0x0000000191b95e60  0x00000060  __TEXT,__text  objc  -[_SWCGeneration description]  // -[_SWCGeneration ?]
0x0000000191b95ec0  0x00000074  __TEXT,__text  objc  -[_SWCGeneration debugDescription]  // -[_SWCGeneration ?]
0x0000000191b95f34  0x00000004  __TEXT,__text  objc  -[_SWCGeneration redactedDescription]  // -[_SWCGeneration ?]
0x0000000191b95f38  0x00000028  __TEXT,__text  objc  -[_SWCGeneration copyWithZone:]  // -[_SWCGeneration reAnalytics.framework/Versions/A/CoreAnalytics]
0x0000000191b95f60  0x00000008  __TEXT,__text  objc  +[_SWCGeneration supportsSecureCoding]  // +[_SWCGeneration ?]
0x0000000191b95f68  0x00000090  __TEXT,__text  objc  -[_SWCGeneration encodeWithCoder:]  // -[_SWCGeneration modelType]
0x0000000191b95ff8  0x000000b8  __TEXT,__text  objc  -[_SWCGeneration initWithCoder:]  // -[_SWCGeneration ?]
0x0000000191b960b0  0x00000038  __TEXT,__text  objc  +[_SWCServiceSpecifier serviceSpecifiersWithEntitlementValue:error:]  // +[_SWCServiceSpecifier ?]
0x0000000191b960e8  0x0000011c  __TEXT,__text  objc  +[_SWCServiceSpecifier serviceSpecifiersWithEntitlementValue:serviceType:error:]  // +[_SWCServiceSpecifier ?]
0x0000000191b96204  0x00000138  __TEXT,__text  objc  -[_SWCServiceSpecifier initWithServiceType:applicationIdentifier:domain:]  // -[_SWCServiceSpecifier ]
0x0000000191b9633c  0x00000010  __TEXT,__text  objc  -[_SWCServiceSpecifier init]  // -[_SWCServiceSpecifier ?]
0x0000000191b9634c  0x00000008  __TEXT,__text  objc  -[_SWCServiceSpecifier applicationIdentifier]  // -[_SWCServiceSpecifier ?]
0x0000000191b96354  0x00000008  __TEXT,__text  objc  -[_SWCServiceSpecifier domain]  // -[_SWCServiceSpecifier ?]
0x0000000191b9635c  0x00000110  __TEXT,__text  objc  -[_SWCServiceSpecifier _initWithServiceType:applicationIdentifier:domain:]  // -[_SWCServiceSpecifier ?]
0x0000000191b9646c  0x00000028  __TEXT,__text  objc  -[_SWCServiceSpecifier isFullySpecified]  // -[_SWCServiceSpecifier ?]
0x0000000191b96494  0x000000f4  __TEXT,__text  objc  -[_SWCServiceSpecifier isEqual:]  // -[_SWCServiceSpecifier ?]
0x0000000191b96588  0x00000044  __TEXT,__text  objc  -[_SWCServiceSpecifier hash]  // -[_SWCServiceSpecifier ?]
0x0000000191b965cc  0x00000060  __TEXT,__text  objc  -[_SWCServiceSpecifier description]  // -[_SWCServiceSpecifier ?]
0x0000000191b9662c  0x000000ac  __TEXT,__text  objc  -[_SWCServiceSpecifier debugDescription]  // -[_SWCServiceSpecifier ?]
0x0000000191b966d8  0x000000d0  __TEXT,__text  objc  -[_SWCServiceSpecifier redactedDescription]  // -[_SWCServiceSpecifier s]
0x0000000191b967a8  0x00000008  __TEXT,__text  objc  +[_SWCServiceSpecifier supportsSecureCoding]  // +[_SWCServiceSpecifier ?]
0x0000000191b967b0  0x00000090  __TEXT,__text  objc  -[_SWCServiceSpecifier encodeWithCoder:]  // -[_SWCServiceSpecifier ager]
0x0000000191b96840  0x00000150  __TEXT,__text  objc  -[_SWCServiceSpecifier initWithCoder:]  // -[_SWCServiceSpecifier ?]
0x0000000191b96990  0x00000028  __TEXT,__text  objc  -[_SWCServiceSpecifier copyWithZone:]  // -[_SWCServiceSpecifier ?]
0x0000000191b969b8  0x0000000c  __TEXT,__text  objc  -[_SWCServiceSpecifier SWCApplicationIdentifier]  // -[_SWCServiceSpecifier ?]
0x0000000191b969c4  0x0000000c  __TEXT,__text  objc  -[_SWCServiceSpecifier SWCDomain]  // -[_SWCServiceSpecifier 2]
0x0000000191b969d0  0x0000000c  __TEXT,__text  objc  -[_SWCServiceSpecifier serviceType]  // -[_SWCServiceSpecifier ?]
0x0000000191b969dc  0x00000050  __TEXT,__text  objc  -[_SWCServiceSpecifier .cxx_destruct]  // -[_SWCServiceSpecifier ?]
0x0000000191b96a2c  0x00000008  __TEXT,__text  objc  -[_SWCServiceSpecifier(SWCExtendedServiceSpecifier) bundleIdentifier]  // -[_SWCServiceSpecifier ?]
0x0000000191b96a34  0x00000008  __TEXT,__text  objc  -[_SWCServiceSpecifier(SWCExtendedServiceSpecifier) applicationIdentifierPrefix]  // -[_SWCServiceSpecifier ?]
0x0000000191b96a3c  0x00000008  __TEXT,__text  objc  -[_SWCServiceSpecifier(SWCExtendedServiceSpecifier) domainHost]  // -[_SWCServiceSpecifier ?]
0x0000000191b96a44  0x00000008  __TEXT,__text  objc  -[_SWCServiceSpecifier(SWCExtendedServiceSpecifier) isDomainWildcard]  // -[_SWCServiceSpecifier ]
0x0000000191b96a4c  0x00000008  __TEXT,__text  objc  -[_SWCServiceSpecifier(SWCExtendedServiceSpecifier) domainPort]  // -[_SWCServiceSpecifier ?]
0x0000000191b96a54  0x00000008  __TEXT,__text  objc  -[_SWCServiceSpecifier(SWCExtendedServiceSpecifier) domainModeOfOperation]  // -[_SWCServiceSpecifier ?]
0x0000000191b96a5c  0x000000d8  __TEXT,__text  objc  -[_SWCServiceSpecifier(SWCExtendedServiceSpecifier) domainEncompassesDomain:]  // -[_SWCServiceSpecifier ?]
0x0000000191b96b34  0x000000c8  __TEXT,__text  objc  -[_SWCServiceSpecifier(SWCExtendedServiceSpecifier) domainEncompassesDomainOfServiceSpecifier:]  // -[_SWCServiceSpecifier 1]
0x0000000191b96bfc  0x00000068  __TEXT,__text  objc  -[_SWCServiceSpecifier(SWCExtendedServiceSpecifier) isValid]  // -[_SWCServiceSpecifier 4c]
0x0000000191b96c64  0x0000075c  __TEXT,__text  objc  +[_SWCServiceSpecifier(Private) _serviceSpecifiersWithEntitlementValue:serviceType:error:]  // +[_SWCServiceSpecifier ?]
0x0000000191b973c0  0x00000138  __TEXT,__text  objc  -[_SWCChatterboxResolver initWithURL:]  // -[_SWCChatterboxResolver ]
